,tradeDate,closeIndex,turnoverValue
187,2005-10-17,897.62,5516482064.0
188,2005-10-18,902.37,5849997730.0
189,2005-10-19,898.74,5474099406.0
190,2005-10-20,899.92,6082545635.0
191,2005-10-21,904.41,5645096184.0
192,2005-10-24,906.65,4674775354.0
193,2005-10-25,894.27,5687104900.0
194,2005-10-26,875.82,5911800808.0
195,2005-10-27,875.85,5881848405.0
196,2005-10-28,867.73,5565266453.0
197,2005-10-31,876.28,4954801462.0
198,2005-11-01,872.87,4762514458.0
199,2005-11-02,882.48,6115386842.0
200,2005-11-03,874.58,5843191842.0
201,2005-11-04,878.36,4570236086.0
202,2005-11-07,877.28,3758294613.0
203,2005-11-08,881.52,4617261094.0
204,2005-11-09,879.25,5544780425.0
205,2005-11-10,862.97,5071603818.0
206,2005-11-11,864.79,4221479222.0
207,2005-11-14,862.15,2924317719.0
208,2005-11-15,856.64,4158739868.0
209,2005-11-16,863.12,4185382359.0
210,2005-11-17,862.66,4120494742.0
211,2005-11-18,882.24,8353934317.0
212,2005-11-21,883.87,4897254555.0
213,2005-11-22,869.62,4500600972.0
214,2005-11-23,876.23,3944070407.0
215,2005-11-24,881.49,6102429919.0
216,2005-11-25,884.11,5127946933.0
217,2005-11-28,880.17,4239101597.0
218,2005-11-29,871.31,3597357382.0
219,2005-11-30,873.83,3676845309.0
220,2005-12-01,873.07,3355702993.0
221,2005-12-02,869.94,3937214093.0
222,2005-12-05,859.61,4606548004.0
223,2005-12-06,866.08,4737134619.0
224,2005-12-07,873.84,4368779146.0
225,2005-12-08,874.06,5018813137.0
226,2005-12-09,887.36,5793086795.0
227,2005-12-12,888.52,5082260512.0
228,2005-12-13,889.1,5148218278.0
229,2005-12-14,898.15,6757243552.0
230,2005-12-15,896.43,7498123901.0
231,2005-12-16,902.56,5418465602.0
232,2005-12-19,902.91,4380561278.0
233,2005-12-20,907.32,4665761570.0
234,2005-12-21,903.14,4892864878.0
235,2005-12-22,908.75,4441384591.0
236,2005-12-23,915.89,5799046691.0
237,2005-12-26,922.38,7501782773.0
238,2005-12-27,919.36,5640640118.0
239,2005-12-28,920.92,5731256513.0
240,2005-12-29,932.03,8798040548.0
241,2005-12-30,923.45,8517980122.0
242,2006-01-04,941.43,11442608327.0
243,2006-01-05,959.13,14693493720.0
244,2006-01-06,970.03,16170989866.0
245,2006-01-09,975.25,12626400277.0
246,2006-01-10,978.15,12344022953.0
247,2006-01-11,973.48,13488346780.0
248,2006-01-12,983.72,11028175836.0
249,2006-01-13,978.81,11215633222.0
250,2006-01-16,961.44,9896151721.0
251,2006-01-17,964.29,8076118846.0
252,2006-01-18,983.62,10389841771.0
253,2006-01-19,991.22,12714862349.0
254,2006-01-20,993.34,12929890431.0
255,2006-01-23,996.16,11459294356.0
256,2006-01-24,999.09,13914239772.0
257,2006-01-25,1009.6,11644197379.0
258,2006-02-06,1033.23,13466978183.0
259,2006-02-07,1029.94,17669257813.0
260,2006-02-08,1033.07,13692515175.0
261,2006-02-09,1019.6,12115067169.0
262,2006-02-10,1032.34,11411753871.0
263,2006-02-13,1031.61,11454695538.0
264,2006-02-14,1038.53,9730559347.0
265,2006-02-15,1041.66,12747811508.0
266,2006-02-16,1020.12,13407183725.0
267,2006-02-17,1020.37,10774127956.0
268,2006-02-20,1021.64,10303300141.0
269,2006-02-21,1038.82,13180216400.0
270,2006-02-22,1037.89,13435059019.0
271,2006-02-23,1041.37,10259755542.0
272,2006-02-24,1049.44,10286380796.0
273,2006-02-27,1047.85,12520438962.0
274,2006-02-28,1053.01,10427830678.0
275,2006-03-01,1056.62,10518419421.0
276,2006-03-02,1038.67,13748692907.0
277,2006-03-03,1041.68,11437141697.0
278,2006-03-06,1038.87,9091203924.0
279,2006-03-07,1014.97,9676508800.0
280,2006-03-08,1009.27,8818082801.0
281,2006-03-09,1004.34,6640051345.0
282,2006-03-10,1008.9,6337829115.0
283,2006-03-13,1019.86,6101943506.0
284,2006-03-14,1018.27,5861599356.0
285,2006-03-15,1028.96,7822300458.0
286,2006-03-16,1027.62,7936360041.0
287,2006-03-17,1024.02,7945174864.0
288,2006-03-20,1037.66,8246315688.0
289,2006-03-21,1040.76,10271579935.0
290,2006-03-22,1047.67,10034541922.0
291,2006-03-23,1048.54,10825049824.0
292,2006-03-24,1042.6,11031900342.0
293,2006-03-27,1050.71,9201788180.0
294,2006-03-28,1055.98,10630507500.0
295,2006-03-29,1065.29,15882110482.0
296,2006-03-30,1055.63,12089930817.0
297,2006-03-31,1061.09,12045672446.0
298,2006-04-03,1079.32,15703156870.0
299,2006-04-04,1089.37,17525218334.0
300,2006-04-05,1099.97,18539588008.0
301,2006-04-06,1103.24,19687813538.0
302,2006-04-07,1103.15,17760103659.0
303,2006-04-10,1117.91,17246470925.0
304,2006-04-11,1123.31,19796708290.0
305,2006-04-12,1117.07,15991141463.0
306,2006-04-13,1093.93,17190084945.0
307,2006-04-14,1118.61,16782531968.0
308,2006-04-17,1124.41,18349161711.0
309,2006-04-18,1131.28,17403457422.0
310,2006-04-19,1138.24,19364959974.0
311,2006-04-20,1134.38,21561233693.0
312,2006-04-21,1149.16,22750697130.0
313,2006-04-24,1142.7,26245896335.0
314,2006-04-25,1141.93,22885232669.0
315,2006-04-26,1155.73,25476171649.0
316,2006-04-27,1155.27,18862520936.0
317,2006-04-28,1172.35,24343009251.0
318,2006-05-08,1218.44,26536314891.0
319,2006-05-09,1251.61,33111916341.0
320,2006-05-10,1265.93,33568258225.0
321,2006-05-11,1255.04,37299607468.0
322,2006-05-12,1296.26,34261843942.0
323,2006-05-15,1352.16,45768188032.0
324,2006-05-16,1331.13,50916396723.0
325,2006-05-17,1335.52,39133826398.0
326,2006-05-18,1331.2,31832852065.0
327,2006-05-19,1366.1,36222359895.0
328,2006-05-22,1373.67,38198875541.0
329,2006-05-23,1317.65,32747751170.0
330,2006-05-24,1308.24,31096815588.0
331,2006-05-25,1307.7,20482556624.0
332,2006-05-26,1331.02,21741991960.0
333,2006-05-29,1366.29,27100627303.0
334,2006-05-30,1378.76,28992430923.0
335,2006-05-31,1365.45,29359692213.0
336,2006-06-01,1402.88,31383492665.0
337,2006-06-02,1390.12,37407323630.0
338,2006-06-05,1403.16,29784741526.0
339,2006-06-06,1399.14,26497855270.0
340,2006-06-07,1320.23,31076290204.0
341,2006-06-08,1325.98,26462585864.0
342,2006-06-09,1294.19,21631040581.0
343,2006-06-12,1297.67,15025360038.0
344,2006-06-13,1298.28,16716170449.0
345,2006-06-14,1283.88,15982326444.0
346,2006-06-15,1285.39,12947893429.0
347,2006-06-16,1318.01,16152374694.0
348,2006-06-19,1334.89,18672646769.0
349,2006-06-20,1338.22,16416714736.0
350,2006-06-21,1333.53,18271592334.0
351,2006-06-22,1331.55,14642393269.0
352,2006-06-23,1339.45,15125536432.0
353,2006-06-26,1363.41,18564767865.0
